iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	H 	O 	O2 	OH 	H2O 	HO2 	H2O2 	C 	CH 	CH2 	CH2(S) 	CH3 	CH4 	CO 	CO2 	HCO 	CH2O 	CH2OH 	CH3O 	CH3OH 	C2H 	C2H2 	C2H3 	C2H4 	C2H5 	C2H6 	HCCO 	CH2CO 	HCCOH 	N 	NH 	NH2 	NH3 	NNH 	NO 	NO2 	N2O 	HNO 	CN 	HCN 	H2CN 	HCNN 	HCNO 	HOCN 	HNCO 	NCO 	N2 	AR 	C3H7 	C3H8 	CH2CHO 	CH3CHO 	
145 	 1.0262302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0202638346e+03 	4.1780445119e-05 	7.5022821927e-10 	2.5138366261e-09 	2.1583153260e-01 	1.0336378181e-08 	1.9335210344e-03 	7.4735686464e-06 	1.4146651824e-05 	5.2756648224e-26 	1.3711639830e-19 	6.6278233326e-13 	9.7393741816e-14 	3.4847961843e-06 	5.3056615727e-02 	9.6753646309e-04 	1.2706150812e-05 	4.8859613182e-10 	1.1429297723e-03 	8.3861035649e-12 	1.7151466408e-08 	3.4708713830e-05 	7.3101466555e-18 	3.4343332610e-08 	2.9074309611e-12 	6.3498492092e-05 	3.5974805523e-09 	4.8542375541e-04 	1.4542077597e-13 	8.4214734529e-07 	1.7701006711e-12 	2.5887790462e-22 	2.1578873141e-19 	2.0364100253e-20 	3.7913556838e-19 	9.3150325347e-15 	1.1100014751e-15 	6.9559932299e-15 	4.7598868343e-10 	5.3025953925e-19 	7.5300067594e-28 	4.9904982591e-18 	7.7903265636e-24 	3.9483317216e-21 	1.9462988798e-21 	6.9277970040e-23 	2.5136505273e-18 	4.9578171017e-20 	7.1375878605e-01 	1.2644818957e-02 	2.1228238662e-11 	1.2380425197e-07 	1.3990372722e-10 	1.0323572181e-09 	
146 	 1.0274802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0205204511e+03 	4.2404530300e-05 	7.6801373883e-10 	2.5695916253e-09 	2.1579474759e-01 	1.0577255408e-08 	1.9579942572e-03 	7.5823794248e-06 	1.4410671932e-05 	5.7188591826e-26 	1.4517880280e-19 	6.8542867326e-13 	1.0071989117e-13 	3.5234993249e-06 	5.3035695575e-02 	9.8247980829e-04 	1.3003417959e-05 	5.0208289921e-10 	1.1536440299e-03 	8.6371221854e-12 	1.7557524932e-08 	3.5162174678e-05 	7.6958317790e-18 	3.5246345915e-08 	3.0199273052e-12 	6.4691820082e-05 	3.7076643891e-09 	4.8998980174e-04 	1.5303517133e-13 	8.6555517214e-07 	1.8385105852e-12 	2.6993244057e-22 	2.2507632685e-19 	2.1266413399e-20 	3.9666529716e-19 	9.5429249804e-15 	1.1457116400e-15 	7.1466290149e-15 	4.8054469018e-10 	5.5287616534e-19 	8.0612182352e-28 	5.2116475905e-18 	8.1684298434e-24 	4.1778014516e-21 	2.0521127174e-21 	7.3041530463e-23 	2.5869351417e-18 	5.0542405334e-20 	7.1375878605e-01 	1.2644818957e-02 	2.1809212058e-11 	1.2722242602e-07 	1.4515358403e-10 	1.0725222842e-09 	
147 	 1.0287302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0207834854e+03 	4.3045751869e-05 	7.8651481949e-10 	2.6275252306e-09 	2.1575704201e-01 	1.0827854812e-08 	1.9830787265e-03 	7.6945545868e-06 	1.4683360499e-05 	6.2074500869e-26 	1.5385982106e-19 	7.0924781724e-13 	1.0421783443e-13 	3.5632941283e-06 	5.3014276290e-02 	9.9783289130e-04 	1.3311125716e-05 	5.1617176514e-10 	1.1645810890e-03 	8.8997510780e-12 	1.7979799814e-08 	3.5626779380e-05 	8.1079385103e-18 	3.6184332559e-08 	3.1385835488e-12 	6.5921524519e-05 	3.8229807299e-09 	4.9464237483e-04 	1.6116429667e-13 	8.8990700332e-07 	1.9104242958e-12 	2.8172217589e-22 	2.3492678915e-19 	2.2224501750e-20 	4.1526069137e-19 	9.7802242491e-15 	1.1831576384e-15 	7.3451247552e-15 	4.8519830195e-10 	5.7685206762e-19 	8.6395230747e-28 	5.4463418696e-18 	8.5727789410e-24 	4.4246940869e-21 	2.1654670594e-21 	7.7070753908e-23 	2.6632510461e-18 	5.1538799990e-20 	7.1375878605e-01 	1.2644818957e-02 	2.2413610603e-11 	1.3078048652e-07 	1.5067962657e-10 	1.1148252196e-09 	
148 	 1.0299802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0210532104e+03 	4.3704877241e-05 	8.0577347533e-10 	2.6877633616e-09 	2.1571837667e-01 	1.1088750814e-08 	2.0088004068e-03 	7.8102609743e-06 	1.4965148694e-05 	6.7469774093e-26 	1.6321878391e-19 	7.3432273578e-13 	1.0789968906e-13 	3.6042321124e-06 	5.2992337184e-02 	1.0136139524e-03 	1.3629807226e-05 	5.3090093617e-10 	1.1757494542e-03 	9.1747420550e-12 	1.8419233567e-08 	3.6102992721e-05 	8.5487463166e-18 	3.7159214226e-08 	3.2638489293e-12 	6.7189298541e-05 	3.9437611750e-09 	4.9938449589e-04 	1.6985184831e-13 	9.1525608830e-07 	1.9860759086e-12 	2.9431275956e-22 	2.4538499471e-19 	2.3242879546e-20 	4.3500482946e-19 	1.0027494225e-14 	1.2224557106e-15 	7.5519416328e-15 	4.8995345477e-10 	6.0229480551e-19 	9.2700128964e-28 	5.6956645345e-18 	9.0057679556e-24 	4.6906648829e-21 	2.2870389954e-21 	8.1389242511e-23 	2.7427775577e-18 	5.2569062289e-20 	7.1375878604e-01 	1.2644818957e-02 	2.3042758075e-11 	1.3448647074e-07 	1.5650115746e-10 	1.1594157350e-09 	
149 	 1.0312302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0213299157e+03 	4.4382722663e-05 	8.2583499507e-10 	2.7504416581e-09 	2.1567870991e-01 	1.1360562918e-08 	2.0351868597e-03 	7.9296768729e-06 	1.5256496889e-05 	7.3437712165e-26 	1.7332190673e-19 	7.6074390717e-13 	1.1177866579e-13 	3.6463682159e-06 	5.2969856321e-02 	1.0298423890e-03 	1.3960032600e-05 	5.4631179089e-10 	1.1871581114e-03 	9.4629102572e-12 	1.8876841328e-08 	3.6591307640e-05 	9.0207750473e-18 	3.8173053483e-08 	3.3962141552e-12 	6.8496944875e-05 	4.0703650747e-09 	5.0421934564e-04 	1.7914605151e-13 	9.4165964753e-07 	2.0657193258e-12 	3.0777717400e-22 	2.5650029650e-19 	2.4326517070e-20 	4.5598883517e-19 	1.0285343528e-14 	1.2637321415e-15 	7.7675767273e-15 	4.9481432197e-10 	6.2932259412e-19 	9.9584341308e-28 	5.9608072187e-18 	9.4700628427e-24 	4.9775595080e-21 	2.4175797486e-21 	8.6023159169e-23 	2.8257083662e-18 	5.3635026217e-20 	7.1375878604e-01 	1.2644818957e-02 	2.3698076958e-11 	1.3834902474e-07 	1.6263918732e-10 	1.2064567810e-09 	
150 	 1.0324802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0216139092e+03 	4.5080157278e-05 	8.4674826196e-10 	2.8157064234e-09 	2.1563799750e-01 	1.1643960151e-08 	2.0622673729e-03 	8.0529930177e-06 	1.5557897178e-05 	8.0050814824e-26 	1.8424323253e-19 	7.8861014981e-13 	1.1586918948e-13 	3.6897610926e-06 	5.2946810415e-02 	1.0465388518e-03 	1.4302412202e-05 	5.6244920726e-10 	1.1988165641e-03 	9.7651407670e-12 	1.9353717871e-08 	3.7092247490e-05 	9.5268151573e-18 	3.9228066868e-08 	3.5362160738e-12 	6.9846385041e-05 	4.2031824011e-09 	5.0915027566e-04 	1.8910021990e-13 	9.6917924565e-07 	2.1496303009e-12 	3.2219671945e-22 	2.6832706341e-19 	2.5480896140e-20 	4.7831281838e-19 	1.0554429953e-14 	1.3071243322e-15 	7.9925665322e-15 	4.9978533333e-10 	6.5806558005e-19 	1.0711286570e-27 	6.2430828028e-18 	9.9686384859e-24 	5.2874399175e-21 	2.5579243247e-21 	9.1001558570e-23 	2.9122530046e-18 	5.4738664551e-20 	7.1375878604e-01 	1.2644818957e-02 	2.4381097688e-11 	1.4237746123e-07 	1.6911661920e-10 	1.2561259785e-09 	
151 	 1.0337302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0219055183e+03 	4.5798107612e-05 	8.6856611178e-10 	2.8837156799e-09 	2.1559619235e-01 	1.1939666025e-08 	2.0900731032e-03 	8.1804137092e-06 	1.5869876167e-05 	8.7392320114e-26 	1.9606572485e-19 	8.1802956476e-13 	1.2018703591e-13 	3.7344734369e-06 	5.2923174716e-02 	1.0637253506e-03 	1.4657600296e-05 	5.7936193055e-10 	1.2107348731e-03 	1.0082396050e-11 	1.9851045433e-08 	3.7606368513e-05 	1.0069962373e-17 	4.0326639464e-08 	3.6844429647e-12 	7.1239669510e-05 	4.3426369769e-09 	5.1418082085e-04 	1.9977339576e-13 	9.9788120741e-07 	2.2381087486e-12 	3.3766215319e-22 	2.8092529638e-19 	2.6712073592e-20 	5.0208694571e-19 	1.0835465448e-14 	1.3527820084e-15 	8.2274908884e-15 	5.0487119608e-10 	6.8866729730e-19 	1.1535938903e-27 	6.5439403229e-18 	1.0504821694e-23 	5.6226143081e-21 	2.7090026253e-21 	9.6356768126e-23 	3.0026385040e-18 	5.5882102413e-20 	7.1375878603e-01 	1.2644818957e-02 	2.5093468965e-11 	1.4658182415e-07 	1.7595845681e-10 	1.3086172318e-09 	
152 	 1.0349802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0222050918e+03 	4.6537562529e-05 	8.9134573395e-10 	2.9546403514e-09 	2.1555324432e-01 	1.2248464114e-08 	2.1186372341e-03 	8.3121580523e-06 	1.6192998058e-05 	9.5558036492e-26 	2.0888253759e-19 	8.4912060521e-13 	1.2474948702e-13 	3.7805723452e-06 	5.2898922893e-02 	1.0814253722e-03 	1.5026299091e-05 	5.9710298801e-10 	1.2229237002e-03 	1.0415724351e-11 	2.0370102481e-08 	3.8134262578e-05 	1.0653657557e-17 	4.1471341153e-08 	3.8415405543e-12 	7.2678988940e-05 	4.4891901141e-09 	5.1931471290e-04 	2.1123108445e-13 	1.0278370820e-06 	2.3314813474e-12 	3.5427501164e-22 	2.9436133367e-19 	2.8026754060e-20 	5.2743266175e-19 	1.1129221698e-14 	1.4008685867e-15 	8.4729773944e-15 	5.1007691823e-10 	7.2128633292e-19 	1.2440763742e-27 	6.8649820410e-18 	1.1082341213e-23 	5.9856718859e-21 	2.8718522797e-21 	1.0212482758e-22 	3.0971112605e-18 	5.7067632455e-20 	7.1375878603e-01 	1.2644818957e-02 	2.5836969258e-11 	1.5097296084e-07 	1.8319203991e-10 	1.3641425539e-09 	
153 	 1.0362302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0225130017e+03 	4.7299578716e-05 	9.1514912205e-10 	3.0286655901e-09 	2.1550909994e-01 	1.2571204312e-08 	2.1479951498e-03 	8.4484613341e-06 	1.6527868081e-05 	1.0465853054e-25 	2.2279849458e-19 	8.8201329280e-13 	1.2957550732e-13 	3.8281297169e-06 	5.2874026900e-02 	1.0996640099e-03 	1.5409263252e-05 	6.1573015687e-10 	1.2353943559e-03 	1.0766269177e-11 	2.0912273540e-08 	3.8676560197e-05 	1.1281732655e-17 	4.2664944795e-08 	4.0082188653e-12 	7.4166686623e-05 	4.6433447199e-09 	5.2455589516e-04 	2.2354609911e-13 	1.0591241627e-06 	2.4301044779e-12 	3.7214914884e-22 	3.0870866031e-19 	2.9432373610e-20 	5.5448408550e-19 	1.1436536406e-14 	1.4515627220e-15 	8.7297063615e-15 	5.1540783421e-10 	7.5609823703e-19 	1.3435298021e-27 	7.2079830397e-18 	1.1705386061e-23 	6.3795233307e-21 	3.0476335014e-21 	1.0834599760e-22 	3.1959391443e-18 	5.8297731911e-20 	7.1375878603e-01 	1.2644818957e-02 	2.6613519675e-11 	1.5556260281e-07 	1.9084731112e-10 	1.4229341348e-09 	
154 	 1.0374802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0228296450e+03 	4.8085286776e-05 	9.4004358065e-10 	3.1059922694e-09 	2.1546370211e-01 	1.2908809887e-08 	2.1781846284e-03 	8.5895765592e-06 	1.6875136297e-05 	1.1482174797e-25 	2.3793181833e-19 	9.1685060426e-13 	1.3468594498e-13 	3.8772227009e-06 	5.2848456824e-02 	1.1184681078e-03 	1.5807304929e-05 	6.3530649398e-10 	1.2481588522e-03 	1.1135280050e-11 	2.1479060233e-08 	3.9233933864e-05 	1.1958463817e-17 	4.3910446581e-08 	4.1852600382e-12 	7.5705272309e-05 	4.8056499445e-09 	5.2990853879e-04 	2.3679953457e-13 	1.0918260689e-06 	2.5343675470e-12 	3.9141253228e-22 	3.2404883952e-19 	3.0937196111e-20 	5.8338961107e-19 	1.1758320377e-14 	1.5050600639e-15 	8.9984163924e-15 	5.2086963338e-10 	7.9329771885e-19 	1.4530431914e-27 	7.5749137760e-18 	1.2378673794e-23 	6.8074480250e-21 	3.2376463361e-21 	1.1506535000e-22 	3.2994138904e-18 	5.9575081783e-20 	7.1375878602e-01 	1.2644818957e-02 	2.7425198384e-11 	1.6036345645e-07 	1.9895711893e-10 	1.4852466910e-09 	
155 	 1.0387302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0231554463e+03 	4.8895897996e-05 	9.6610229695e-10 	3.1868386665e-09 	2.1541698977e-01 	1.3262285437e-08 	2.2092460555e-03 	8.7357761638e-06 	1.7235501840e-05 	1.2619616463e-25 	2.5441615610e-19 	9.5379005616e-13 	1.4010376157e-13 	3.9279341937e-06 	5.2822180723e-02 	1.1378664210e-03 	1.6221299384e-05 	6.5590093646e-10 	1.2612299606e-03 	1.1524124710e-11 	2.2072093714e-08 	3.9807101754e-05 	1.2688632954e-17 	4.5211088888e-08 	4.3735272833e-12 	7.7297437574e-05 	4.9767064506e-09 	5.3537706061e-04 	2.5108189324e-13 	1.1260334012e-06 	2.6446967595e-12 	4.1220934541e-22 	3.4047258735e-19 	3.2550424568e-20 	6.1431374753e-19 	1.2095565512e-14 	1.5615752574e-15 	9.2799106771e-15 	5.2646839161e-10 	8.3310117835e-19 	1.5738634055e-27 	7.9679661095e-18 	1.3107530633e-23 	7.2731493411e-21 	3.4433507440e-21 	1.2233345434e-22 	3.4078538144e-18 	6.0902588502e-20 	7.1375878602e-01 	1.2644818957e-02 	2.8274256810e-11 	1.6538930493e-07 	2.0755756283e-10 	1.5513601424e-09 	
156 	 1.0399802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0234908601e+03 	4.9732711890e-05 	9.9340498705e-10 	3.2714423640e-09 	2.1536889756e-01 	1.3632725899e-08 	2.2412226627e-03 	8.8873539340e-06 	1.7609717649e-05 	1.3895458827e-25 	2.7240296175e-19 	9.9300552093e-13 	1.4585429517e-13 	3.9803533955e-06 	5.2795164444e-02 	1.1578897941e-03 	1.6652191293e-05 	6.7758898474e-10 	1.2746212759e-03 	1.1934303011e-11 	2.2693148700e-08 	4.0396831831e-05 	1.3477599303e-17 	4.6570385993e-08 	4.5739751551e-12 	7.8946072950e-05 	5.1571724049e-09 	5.4096614262e-04 	2.6649439044e-13 	1.1618444776e-06 	2.7615594051e-12 	4.3470245732e-22 	3.5808101603e-19 	3.4282330109e-20 	6.4743923922e-19 	1.2449353868e-14 	1.6213442250e-15 	9.5750641156e-15 	5.3221060643e-10 	8.7574963281e-19 	1.7074218450e-27 	8.3895834270e-18 	1.3897985835e-23 	7.7808195606e-21 	3.6663900510e-21 	1.3020717946e-22 	3.5216069064e-18 	6.2283408406e-20 	7.1375878602e-01 	1.2644818957e-02 	2.9163137868e-11 	1.7065512316e-07 	2.1668838712e-10 	1.6215826670e-09 	
157 	 1.0412302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0238363735e+03 	5.0597124617e-05 	1.0220386282e-09 	3.3600624038e-09 	2.1531935541e-01 	1.4021326764e-08 	2.2741607923e-03 	9.0446271566e-06 	1.7998595755e-05 	1.5329876261e-25 	2.9206430488e-19 	1.0346893134e-12 	1.5196556266e-13 	4.0345764334e-06 	5.2767371419e-02 	1.1785713609e-03 	1.7101001821e-05 	7.0045348100e-10 	1.2883472876e-03 	1.2367462778e-11 	2.3344159340e-08 	4.1003946416e-05 	1.4331382862e-17 	4.7992153076e-08 	4.7876613754e-12 	8.0654287070e-05 	5.3477703069e-09 	5.4668075355e-04 	2.8315047205e-13 	1.1993661658e-06 	2.8854687460e-12 	4.5907633315e-22 	3.7698707686e-19 	3.6144401880e-20 	6.8296951630e-19 	1.2820867944e-14 	1.6846267777e-15 	9.8848313946e-15 	5.3810323619e-10 	9.2151210995e-19 	1.8553664905e-27 	8.8424956115e-18 	1.4756883222e-23 	8.3352163474e-21 	3.9086184205e-21 	1.3875063169e-22 	3.6410543644e-18 	6.3720975519e-20 	7.1375878601e-01 	1.2644818957e-02 	3.0094496529e-11 	1.7617720756e-07 	2.2639343167e-10 	1.6962541983e-09 	
158 	 1.0424802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0241925096e+03 	5.1490638401e-05 	1.0520982905e-09 	3.4529817326e-09 	2.1526828810e-01 	1.4429395689e-08 	2.3081101942e-03 	9.2079390362e-06 	1.8403013212e-05 	1.6946496473e-25 	3.1359619505e-19 	1.0790545952e-12 	1.5846860783e-13 	4.0907070609e-06 	5.2738762435e-02 	1.1999467672e-03 	1.7568836595e-05 	7.2458549900e-10 	1.3024234579e-03 	1.2825417961e-11 	2.4027237217e-08 	4.1629327283e-05 	1.5256761960e-17 	4.9480539009e-08 	5.0157604798e-12 	8.2425428080e-05 	5.5492947919e-09 	5.5252617258e-04 	3.0117758439e-13 	1.2387148243e-06 	3.0169896023e-12 	4.8554047606e-22 	3.9731723954e-19 	3.8149521742e-20 	7.2113153531e-19 	1.3211402380e-14 	1.7517096115e-15 	1.0210256170e-14 	5.4415374384e-10 	9.7068959363e-19 	2.0196002032e-27 	9.3297597582e-18 	1.5692013461e-23 	8.9417531307e-21 	4.1721331379e-21 	1.4803625696e-22 	3.7666146435e-18 	6.5219033127e-20 	7.1375878601e-01 	1.2644818957e-02 	3.1071223087e-11 	1.8197332311e-07 	2.3672114900e-10 	1.7757504391e-09 	
159 	 1.0437302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0245598307e+03 	5.2414872101e-05 	1.0836880844e-09 	3.5505099871e-09 	2.1521561473e-01 	1.4858365740e-08 	2.3431243566e-03 	9.3776614185e-06 	1.8823918749e-05 	1.8773083764e-25 	3.3722252928e-19 	1.1263381532e-12 	1.6539790352e-13 	4.1488574446e-06 	5.2709295387e-02 	1.2220544210e-03 	1.8056894693e-05 	7.5008536384e-10 	1.3168663092e-03 	1.3310169458e-11 	2.4744691806e-08 	4.2273921357e-05 	1.6261387750e-17 	5.1040063517e-08 	5.2595796132e-12 	8.4263107684e-05 	5.7626215725e-09 	5.5850801564e-04 	3.2071924479e-13 	1.2800173701e-06 	3.1567447534e-12 	5.1433351236e-22 	4.1921345311e-19 	4.0312168568e-20 	7.6217908187e-19 	1.3622377313e-14 	1.8229097550e-15 	1.0552481538e-14 	5.5037014591e-10 	1.0236196267e-18 	2.2023270694e-27 	9.8548077357e-18 	1.6712271539e-23 	9.6066062981e-21 	4.4593126797e-21 	1.5814613962e-22 	3.8987481070e-18 	6.6781669793e-20 	7.1375878600e-01 	1.2644818957e-02 	3.2096469535e-11 	1.8806287023e-07 	2.4772519939e-10 	1.8604874819e-09 	
160 	 1.0449802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0249389424e+03 	5.3371573081e-05 	1.1169222428e-09 	3.6529866726e-09 	2.1516124818e-01 	1.5309810531e-08 	2.3792608784e-03 	9.5541978650e-06 	1.9262340260e-05 	2.0842376574e-25 	3.6319979683e-19 	1.1768036204e-12 	1.7279181761e-13 	4.2091490525e-06 	5.2678924989e-02 	1.2449357739e-03 	1.8566478818e-05 	7.7706382400e-10 	1.3316935212e-03 	1.3823929096e-11 	2.5499053794e-08 	4.2938747086e-05 	1.7353918995e-17 	5.2675659425e-08 	5.5205768710e-12 	8.6171228172e-05 	5.9887177129e-09 	5.6463226443e-04 	3.4193747172e-13 	1.3234124934e-06 	3.3054222956e-12 	5.4572805844e-22 	4.4283544308e-19 	4.2648657913e-20 	8.0639662313e-19 	1.4055353660e-14 	1.8985785478e-15 	1.0912761998e-14 	5.5676106752e-10 	1.0806816979e-18 	2.4061081839e-27 	1.0421501927e-17 	1.7827844973e-23 	1.0336842782e-20 	4.7728617617e-21 	1.6917353867e-22 	4.0379623889e-18 	6.8413360550e-20 	7.1375878600e-01 	1.2644818957e-02 	3.3173679553e-11 	1.9446707481e-07 	2.5946513740e-10 	1.9509271411e-09 	
161 	 1.0462302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0253304979e+03 	5.4362630601e-05 	1.1519263600e-09 	3.7607848033e-09 	2.1510509446e-01 	1.5785461582e-08 	2.4165818879e-03 	9.7379871347e-06 	1.9719393255e-05 	2.3193118707e-25 	3.9182270790e-19 	1.2307452219e-12 	1.8069315472e-13 	4.2717136577e-06 	5.2647602458e-02 	1.2686356385e-03 	1.9099006840e-05 	8.0564340259e-10 	1.3469240388e-03 	1.4369147302e-11 	2.6293101739e-08 	4.3624901608e-05 	1.8544181313e-17 	5.4392720783e-08 	5.8003826645e-12 	8.8154012906e-05 	6.2286534708e-09 	5.7090529871e-04 	3.6501564690e-13 	1.3690520425e-06 	3.4637841234e-12 	5.8003654183e-22 	4.6836341186e-19 	4.5177424195e-20 	8.5410381640e-19 	1.4512050655e-14 	1.9791062469e-15 	1.1292477177e-14 	5.6333580430e-10 	1.1423035678e-18 	2.6339295533e-27 	1.1034200789e-17 	1.9050439665e-23 	1.1140572497e-20 	5.1158648398e-21 	1.8122471127e-22 	4.1848185950e-18 	7.0119014169e-20 	7.1375878600e-01 	1.2644818957e-02 	3.4306622690e-11 	2.0120920503e-07 	2.7200720661e-10 	2.0475831289e-09 	
162 	 1.0474802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0257352030e+03 	5.5390090936e-05 	1.1888388152e-09 	3.8743150818e-09 	2.1504705201e-01 	1.6287228278e-08 	2.4551545139e-03 	9.9295071357e-06 	2.0196290413e-05 	2.5871334818e-25 	4.2343095423e-19 	1.2884921454e-12 	1.8914978789e-13 	4.3366944770e-06 	5.2615275150e-02 	1.2932025461e-03 	1.9656024921e-05 	8.3595995991e-10 	1.3625781933e-03 	1.4948545160e-11 	2.7129892617e-08 	4.4333568807e-05 	1.9843356013e-17 	5.6197157899e-08 	6.1008246946e-12 	9.0216040778e-05 	6.4836159867e-09 	5.7733393215e-04 	3.9016189799e-13 	1.4171026086e-06 	3.6326757376e-12 	6.1761819222e-22 	4.9600122453e-19 	4.7919354111e-20 	9.0566080412e-19 	1.4994366038e-14 	2.0649273763e-15 	1.1693147610e-14 	5.7010439224e-10 	1.2089687248e-18 	2.8892849345e-27 	1.1697836233e-17 	2.0393552087e-23 	1.2027131170e-20 	5.4918498949e-21 	1.9442108589e-22 	4.3399384985e-18 	7.1904027573e-20 	7.1375878599e-01 	1.2644818957e-02 	3.5499433453e-11 	2.0831481971e-07 	2.8542526220e-10 	2.1510282272e-09 	
163 	 1.0487302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0261538218e+03 	5.6456174519e-05 	1.2278124128e-09 	3.9940307142e-09 	2.1498701091e-01 	1.6817220894e-08 	2.4950514197e-03 	1.0129279424e-05 	2.0694352415e-05 	2.8931915657e-25 	4.5841736333e-19 	1.3504136582e-12 	1.9821539798e-13 	4.4042474661e-06 	5.2581886161e-02 	1.3186891535e-03 	2.0239222497e-05 	8.6816450645e-10 	1.3786778383e-03 	1.5565151660e-11 	2.8012796951e-08 	4.5066028417e-05 	2.1264204888e-17 	5.8095460400e-08 	6.4239572438e-12 	9.2362285278e-05 	6.7549251618e-09 	5.8392545233e-04 	4.1761311165e-13 	1.4677473439e-06 	3.8130376244e-12 	6.5888747345e-22 	5.2598018147e-19 	5.0898182109e-20 	9.6147445525e-19 	1.5504399369e-14 	2.1565269626e-15 	1.2116452937e-14 	5.7707768670e-10 	1.2812252038e-18 	3.1762771543e-27 	1.2418005316e-17 	2.1872798750e-23 	1.3007300549e-20 	5.9048647818e-21 	2.0890186245e-22 	4.5040129209e-18 	7.3774348690e-20 	7.1375878599e-01 	1.2644818957e-02 	3.6756656116e-11 	2.1581205335e-07 	2.9980184569e-10 	2.2619026483e-09 	
164 	 1.0499802805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0265871829e+03 	5.7563295413e-05 	1.2690162781e-09 	4.1204329734e-09 	2.1492485189e-01 	1.7377777246e-08 	2.5363514079e-03 	1.0337874339e-05 	2.1215020259e-05 	3.2440598171e-25 	4.9723777588e-19 	1.4169251222e-12 	2.0795034214e-13 	4.4745427967e-06 	5.2547373865e-02 	1.3451527041e-03 	2.0850449416e-05 	9.0242531351e-10 	1.3952465014e-03 	1.6222347124e-11 	2.8945539315e-08 	4.5823666309e-05 	2.2821338891e-17 	6.0094769783e-08 	6.7720956636e-12 	9.4598158897e-05 	7.0440521350e-09 	5.9068766543e-04 	4.4763971289e-13 	1.5211880541e-06 	4.0059185027e-12 	7.0432429942e-22 	5.5856350338e-19 	5.4140961320e-20 	1.0220057500e-18 	1.6044479032e-14 	2.2544478264e-15 	1.2564252982e-14 	5.8426745218e-10 	1.3596960596e-18 	3.4997430122e-27 	1.3201079318e-17 	2.3506316897e-23 	1.4093574739e-20 	6.3595690020e-21 	2.2482713646e-22 	4.6778115278e-18 	7.5736549325e-20 	7.1375878598e-01 	1.2644818957e-02 	3.8083296276e-11 	2.2373194446e-07 	3.1522944107e-10 	2.3809238108e-09 	
165 	 1.0512302805e+00 	  1.2500000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0270361868e+03 	5.8714083502e-05 	1.3126380562e-09 	4.2540776516e-09 	2.1486044537e-01 	1.7971493636e-08 	2.5791401088e-03 	1.0555916883e-05 	2.1759869295e-05 	3.6476451866e-25 	5.4042306528e-19 	1.4884950873e-12 	2.1842267771e-13 	4.5477665466e-06 	5.2511671388e-02 	1.3726555543e-03 	2.1491735620e-05 	9.3893037919e-10 	1.4123095558e-03 	1.6923914035e-11 	2.9932245202e-08 	4.6607986184e-05 	2.4531540613e-17 	6.2202963111e-08 	7.1478571325e-12 	9.6929563768e-05 	7.3526408614e-09 	5.9762894624e-04 	4.8055138037e-13 	1.5776476147e-06 	4.2124908019e-12 	7.5448646954e-22 	5.9405168527e-19 	5.7678626687e-20 	1.0877785526e-18 	1.6617193640e-14 	2.3592991441e-15 	1.3038612218e-14 	5.9168646440e-10 	1.4450918546e-18 	3.8654077446e-27 	1.4054334039e-17 	2.5315254165e-23 	1.5300483808e-20 	6.8613444995e-21 	2.4238166955e-22 	4.8621943261e-18 	7.7797909957e-20 	7.1375878598e-01 	1.2644818957e-02 	3.9484880352e-11 	2.3210881506e-07 	3.3181194825e-10 	2.5088978164e-09 	
