iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	H 	O 	O2 	OH 	H2O 	HO2 	H2O2 	C 	CH 	CH2 	CH2(S) 	CH3 	CH4 	CO 	CO2 	HCO 	CH2O 	CH2OH 	CH3O 	CH3OH 	C2H 	C2H2 	C2H3 	C2H4 	C2H5 	C2H6 	HCCO 	CH2CO 	HCCOH 	N 	NH 	NH2 	NH3 	NNH 	NO 	NO2 	N2O 	HNO 	CN 	HCN 	H2CN 	HCNN 	HCNO 	HOCN 	HNCO 	NCO 	N2 	AR 	C3H7 	C3H8 	CH2CHO 	CH3CHO 	
-1 	 0.0000000000e+00 	  1.0000000000e-03 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	2.1875780624e-01 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	5.4838588450e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	7.1375878635e-01 	1.2644818957e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 1.0230000000e-27 	  1.0240000000e-27 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	3.0303866354e-59 	1.2540799267e-37 	6.7426262083e-42 	2.1875780624e-01 	5.5821575306e-51 	6.5300974874e-51 	1.0651525637e-32 	-2.8031392516e-55 	8.5698504577e-71 	1.1772382802e-70 	1.6845708311e-69 	2.0865326693e-51 	4.8537942303e-33 	5.4838588450e-02 	1.7451587965e-48 	8.0352408559e-50 	1.4048229483e-48 	2.2683343020e-50 	-1.4312523675e-78 	-1.5047723458e-55 	-8.6562103431e-53 	-7.6111520251e-81 	1.8360237360e-80 	3.5273146737e-71 	6.0733973047e-49 	-1.8430418233e-75 	1.0032649828e-54 	1.7809998686e-81 	1.4748807917e-72 	5.9729403859e-84 	2.0455145630e-54 	4.8547396810e-65 	1.5973373752e-83 	1.5618147905e-83 	1.1494363834e-42 	7.5991910661e-51 	-1.1736719264e-60 	1.8251799411e-41 	3.3962950394e-52 	4.1854057063e-58 	3.9463698732e-54 	9.6579075960e-66 	3.4283421988e-51 	5.9835267388e-84 	5.9835269281e-84 	6.6848158830e-84 	1.1622242455e-49 	7.1375878635e-01 	1.2644818957e-02 	-2.7872436439e-74 	-8.7218542206e-46 	3.3393852602e-50 	1.3343715362e-75 	
1 	 1.0485750000e-24 	  1.0485760000e-24 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	3.1837157036e-53 	1.2854319249e-34 	6.9111994425e-39 	2.1875780624e-01 	5.8533515974e-45 	6.8473296234e-45 	1.0917813778e-29 	-2.9393080621e-49 	8.5698504577e-71 	1.1772382802e-70 	-7.9654595551e-59 	2.1867332175e-45 	4.9751390862e-30 	5.4838588450e-02 	-4.8104740962e-43 	8.4255928568e-44 	1.4730692472e-42 	2.3785299826e-44 	-3.8460640980e-58 	-1.5778723056e-49 	-9.0767290417e-47 	-7.6111520251e-81 	2.8801074249e-71 	1.8056746365e-68 	6.3684429458e-43 	3.5457485084e-71 	1.0520035957e-48 	-1.1538192294e-57 	1.5819046351e-63 	6.2630039510e-78 	2.1448856617e-48 	1.2726460041e-59 	1.6749378758e-77 	1.6376896871e-77 	1.1781723099e-39 	7.9683597682e-45 	-1.2306889086e-54 	1.8708094350e-38 	3.5612870524e-46 	4.3886491316e-52 	4.1380845217e-48 	2.5317721880e-60 	3.5979270487e-45 	6.2681807607e-78 	6.2683839882e-78 	7.6098973192e-76 	1.2186850993e-43 	7.1375878635e-01 	1.2644818957e-02 	-1.1430262124e-72 	-8.7264266897e-46 	3.5016125962e-44 	1.3344158473e-75 	
2 	 1.0737418230e-21 	  1.0737418240e-21 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	3.3383743231e-47 	1.3162835452e-31 	7.0720239428e-36 	2.1875780624e-01 	3.4754280724e-39 	6.7220887349e-40 	1.1179851960e-26 	-3.0820878826e-43 	1.1832248316e-39 	-8.7791185300e-48 	-6.7174681601e-49 	2.2929549828e-39 	5.0945472781e-27 	5.4838588450e-02 	4.0394979001e-40 	-1.7126400391e-40 	2.3238300000e-39 	-2.0283336134e-40 	1.7055076830e-39 	-1.6545190129e-43 	-9.5176402316e-41 	-2.0298813956e-48 	2.3763326824e-62 	-1.3332021204e-49 	-9.7349188796e-40 	-1.0415633873e-51 	1.1031057223e-42 	-9.9997864619e-50 	-1.4254432981e-55 	6.4584725141e-72 	2.2490756109e-42 	-3.0268970467e-51 	1.7583987884e-71 	1.7194435061e-71 	1.2064708680e-36 	-5.1875550683e-40 	-1.2904708530e-48 	1.9157106865e-35 	3.7342801321e-40 	4.6010094930e-46 	4.3390961132e-42 	3.9646121034e-51 	3.7727036045e-39 	1.4257954538e-72 	1.5841200347e-72 	9.7961182653e-67 	-8.5033117441e-40 	7.1375878635e-01 	1.2644818957e-02 	-3.5496745275e-39 	-4.8033077444e-43 	-2.0335442973e-39 	4.7559954632e-71 	
3 	 1.0995116278e-18 	  1.0995116278e-18 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	3.5005392008e-41 	1.3478743515e-28 	7.2437285703e-33 	2.1875780624e-01 	3.9240545208e-36 	2.2625868340e-37 	1.1448168418e-23 	-2.7464248158e-36 	1.1676416001e-39 	-2.4009216898e-39 	2.4229555080e-36 	1.9189236450e-37 	5.2168164176e-24 	5.4838588450e-02 	1.5060080765e-36 	1.3216078537e-36 	-1.7048347572e-36 	1.4660861844e-37 	2.8650226752e-36 	-1.7348796742e-37 	-6.8035710313e-38 	-1.0364377474e-39 	1.8855429444e-53 	-7.7248073914e-41 	-8.8118379878e-37 	-5.7462002256e-43 	1.1566901859e-36 	-5.1407590988e-41 	-9.2489666441e-50 	7.0025610707e-64 	2.3583165213e-36 	2.4232428414e-36 	1.5295090681e-63 	1.6629165398e-63 	1.2395579561e-33 	-1.0766222648e-36 	-1.3531567652e-42 	1.9616876076e-32 	1.3792523440e-37 	3.9571428964e-36 	9.1500292063e-37 	2.1645066673e-42 	9.9257655046e-37 	1.7493826823e-60 	1.6702146842e-60 	1.0520623132e-57 	1.1462176246e-37 	7.1375878635e-01 	1.2644818957e-02 	-5.0523506165e-37 	-5.0274877031e-37 	-8.2063175227e-37 	2.0971030639e-48 	
4 	 1.1258999068e-15 	  1.1258999068e-15 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	3.6705813923e-35 	1.3802233356e-25 	7.4216898969e-30 	2.1875780624e-01 	3.1352172981e-34 	8.7925771987e-34 	1.1722924460e-20 	-6.2086486701e-34 	1.6124342090e-33 	1.3018199564e-33 	1.4328856680e-33 	1.5666932845e-33 	5.3420200116e-21 	5.4838588450e-02 	8.6479080688e-34 	-1.0756890231e-33 	3.3921014801e-34 	2.6103483882e-33 	-2.1288675659e-33 	1.1787466234e-33 	1.1946924116e-33 	2.5275690947e-33 	-2.7569043295e-43 	-2.6285054286e-33 	-1.0819895924e-33 	1.7537431358e-33 	-9.1103495255e-34 	-1.9126000524e-33 	9.5713631682e-39 	9.1701770179e-52 	-2.1817253242e-33 	1.1179630016e-33 	1.6306190415e-51 	1.7816986619e-51 	1.2626119083e-30 	9.6362323745e-34 	-1.4067538705e-36 	2.0086244192e-29 	-2.2423626807e-34 	-7.1409126212e-34 	2.6526596944e-34 	3.8970508877e-34 	-1.2410211826e-33 	1.9326124481e-48 	1.8452633754e-48 	3.0220328098e-48 	3.1181524405e-33 	7.1375878635e-01 	1.2644818957e-02 	1.7736590345e-33 	-3.0841544139e-34 	7.9927861557e-34 	1.2723004847e-36 	
5 	 1.1529215046e-12 	  1.1529215046e-12 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	3.8488827887e-29 	1.4133482891e-22 	7.7909241289e-27 	2.1875780624e-01 	8.4347918030e-28 	4.9708723609e-30 	1.2004274647e-17 	4.7278988726e-28 	-1.0508014166e-29 	-9.9892020365e-30 	-6.7437874895e-30 	-1.7545314895e-29 	5.4702284918e-18 	5.4838588450e-02 	5.4236161925e-30 	3.4891179938e-30 	1.7148479385e-30 	1.2176170296e-27 	-2.3833115233e-31 	1.1207722376e-28 	8.9494555645e-30 	4.7804656948e-30 	4.7629327022e-31 	7.6189803715e-30 	7.7032131413e-30 	-2.3039862028e-30 	6.8341702651e-30 	7.4140655834e-30 	-2.9401348114e-30 	2.6933791964e-30 	-8.5832842665e-30 	5.6450687413e-30 	-1.0242017768e-30 	-5.6963389831e-30 	1.3085364707e-27 	1.2055956650e-30 	-1.8265611891e-30 	2.0571447356e-26 	9.4241511312e-30 	-2.5027293304e-32 	-3.5125879594e-30 	-5.0512092182e-30 	9.7682198457e-31 	-2.2385995190e-30 	-2.9980082838e-30 	-4.9195032757e-30 	3.1194037911e-30 	7.1375878635e-01 	1.2644818957e-02 	2.7478149147e-30 	1.6166444057e-30 	2.3334192250e-31 	-2.3998131701e-31 	
6 	 1.1805916207e-09 	  1.1805916207e-09 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	4.0350509427e-23 	1.4468552614e-19 	2.2325806190e-22 	2.1875780624e-01 	8.8686934907e-22 	5.8022847192e-25 	1.2292376659e-14 	5.0110567210e-22 	1.6732394461e-29 	2.6842025973e-30 	-9.2451989808e-30 	-3.6415697969e-30 	5.6015135824e-15 	5.4838588450e-02 	1.2892524516e-29 	6.4214757695e-30 	-1.9663783828e-30 	1.2807341820e-21 	-6.2056582706e-30 	1.2244007071e-22 	1.0784197544e-27 	6.7968763320e-30 	-1.2549427701e-30 	3.6808518501e-30 	3.4264897908e-30 	3.4012959486e-31 	1.6673174714e-29 	9.5772235909e-30 	2.1593098891e-31 	2.7498575523e-30 	-9.9360272696e-30 	3.7322059957e-30 	-4.3327965441e-30 	-4.7379957940e-30 	1.4018103037e-24 	2.3649494101e-30 	-1.9583546322e-30 	2.1065207367e-23 	1.1468673427e-29 	-8.6845361936e-31 	-5.3505033404e-30 	1.7673279871e-30 	-2.4039419135e-30 	-1.5932803579e-30 	-4.0400902956e-30 	-2.4988434643e-30 	-4.8126242563e-31 	7.1375878635e-01 	1.2644818957e-02 	5.2339142202e-32 	5.8163672441e-31 	-8.9365434171e-31 	6.3696824980e-31 	
7 	 1.2089258196e-06 	  1.2089258196e-06 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999993e+02 	3.5101798008e-17 	1.1310313327e-16 	1.6300043909e-16 	2.1875780623e-01 	5.5206829228e-16 	4.1051608253e-16 	1.2587227797e-11 	5.2541719694e-16 	-3.7528561335e-34 	3.9601245983e-30 	1.1240669201e-25 	1.4827956180e-26 	5.7360860783e-12 	5.4838588444e-02 	2.0638579513e-22 	8.2958567322e-25 	2.0249433257e-23 	1.3818379481e-15 	1.3105401119e-27 	8.7413322936e-17 	8.4505897017e-19 	-5.9128604625e-34 	-1.1594319493e-30 	1.0240405165e-33 	3.2917334974e-24 	3.5839935116e-23 	5.5965273532e-21 	-2.6057959676e-32 	4.4783817881e-31 	2.7531890994e-30 	-2.3924839991e-30 	3.1938806862e-30 	-4.3313175863e-30 	-4.7406987762e-30 	1.3245227840e-21 	-4.8454142413e-30 	-1.9593537129e-30 	2.3363635035e-20 	1.1356785771e-29 	-4.8844005724e-34 	-4.6320218901e-30 	1.0188591860e-30 	1.1703974202e-31 	-1.5966955667e-30 	-4.0438879181e-30 	-2.5024819890e-30 	-1.8675606376e-30 	7.1375878635e-01 	1.2644818957e-02 	2.3854921729e-32 	5.9686264102e-31 	1.7661250722e-30 	6.3543337179e-31 	
8 	 1.2379400393e-03 	  6.1897001964e-04 	 3.3804310866e-01 	1.0132500000e+05 	9.9999993965e+02 	3.7953492647e-12 	1.3747084983e-14 	2.9255359149e-13 	2.1875779192e-01 	1.0869659567e-12 	1.0395971224e-09 	1.2425101191e-08 	5.1124552907e-10 	2.1849500904e-38 	4.3420547845e-27 	2.0516236733e-19 	2.5851945858e-20 	6.2648695736e-09 	5.4838580885e-02 	2.7683978661e-13 	1.6744294932e-15 	2.6002627013e-17 	1.6300561136e-09 	1.2256402406e-20 	2.8208975243e-13 	3.4366121926e-12 	4.9581366031e-36 	2.7092944333e-22 	1.4780180351e-24 	4.4657207881e-14 	3.9294573273e-16 	6.6572879791e-12 	2.7778929600e-32 	1.9051408376e-21 	2.7637645800e-30 	9.2234718852e-27 	2.8208085197e-28 	-4.3312794688e-30 	-4.7406478946e-30 	1.6223322117e-19 	1.8842638875e-23 	3.3336044729e-27 	1.8869150333e-15 	6.6936668083e-28 	5.7427723552e-41 	2.6301995258e-27 	3.5453336613e-31 	1.3163066693e-28 	-1.5978766223e-30 	-4.0441210281e-30 	-2.5029478648e-30 	-1.4595366510e-30 	7.1375878635e-01 	1.2644818957e-02 	3.3453269122e-23 	1.9781909508e-19 	6.1233601935e-23 	1.3238103913e-22 	
9 	 7.4276402357e-03 	  6.1897001964e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000428e+03 	2.5762428330e-10 	1.9256181351e-13 	2.7162547669e-12 	2.1875764573e-01 	1.0640599108e-11 	5.3715186628e-08 	6.0875431744e-08 	1.2822359295e-08 	3.6186675755e-36 	3.6890629783e-26 	1.5619318056e-17 	2.0066570586e-18 	5.2016714871e-08 	5.4838488656e-02 	7.9212084162e-11 	6.3094592660e-13 	1.4132979490e-15 	7.7945371785e-08 	2.4690355100e-18 	4.2758309356e-12 	2.5603074609e-10 	2.9954912579e-31 	1.6720460463e-18 	4.3234907507e-21 	1.5529627138e-11 	2.7274669761e-14 	2.2965272680e-09 	3.5242188035e-27 	2.5581683280e-17 	2.4525524480e-27 	8.5701223774e-26 	3.8164923392e-26 	-4.3162848992e-30 	-4.7407033121e-30 	2.2585903365e-18 	9.5462194800e-22 	4.4304092920e-24 	6.0037617730e-14 	9.4491730457e-26 	1.9101169555e-38 	1.4535953943e-25 	2.7464982506e-29 	1.1185574092e-27 	-1.5933595754e-30 	-4.0431874069e-30 	-2.4909514366e-30 	-1.0517124404e-31 	7.1375878635e-01 	1.2644818957e-02 	9.6829072555e-20 	5.2539445583e-16 	1.8227354013e-19 	3.8721079419e-19 	
